dataset,filename,reason
aihub,ID2305.png,detect_fail
aihub,ID2310.png,detect_fail
aihub,ID2323.png,detect_fail
aihub,ID2324.png,detect_fail
aihub,ID2326.png,detect_fail
aihub,ID2338.png,detect_fail
aihub,ID2370.png,detect_fail
aihub,ID2387.png,detect_fail
aihub,ID2419.png,detect_fail
aihub,ID2430.png,detect_fail
aihub,ID2438.png,detect_fail
aihub,ID2442.png,detect_fail
aihub,ID2457.png,detect_fail
aihub,ID2475.png,detect_fail
aihub,ID2478.png,detect_fail
aihub,ID2482.png,detect_fail
aihub,ID2520.png,detect_fail
aihub,ID2530.png,detect_fail
aihub,ID2539.png,detect_fail
aihub,ID2549.png,detect_fail
aihub,ID2597.png,detect_fail
aihub,ID2608.png,detect_fail
aihub,ID2639.png,detect_fail
aihub,ID2643.png,detect_fail
aihub,ID2750.png,detect_fail
aihub,ID2767.png,detect_fail
aihub,ID2787.png,detect_fail
aihub,ID2794.png,detect_fail
aihub,ID2807.png,detect_fail
aihub,ID2808.png,detect_fail
aihub,ID2809.png,detect_fail
aihub,ID2813.png,detect_fail
aihub,ID2845.png,detect_fail
aihub,ID2878.png,detect_fail
aihub,ID2893.png,detect_fail
aihub,ID2919.png,detect_fail
aihub,ID2922.png,detect_fail
aihub,ID2947.png,detect_fail
aihub,ID2962.png,detect_fail
aihub,ID2963.png,detect_fail
aihub,ID2969.png,detect_fail
aihub,ID2970.png,detect_fail
aihub,ID2987.png,detect_fail
aihub,ID3004.png,detect_fail
aihub,ID3047.png,detect_fail
aihub,ID3171.png,detect_fail
aihub,ID3193.png,detect_fail
aihub,ID3226.png,detect_fail
aihub,ID3252.png,detect_fail
aihub,ID3255.png,detect_fail
aihub,ID3270.png,detect_fail
aihub,ID3323.png,detect_fail
aihub,ID3343.png,detect_fail
aihub,ID3347.png,detect_fail
aihub,ID3408.png,detect_fail
aihub,ID3433.png,detect_fail
aihub,ID3440.png,detect_fail
aihub,ID3485.png,detect_fail
aihub,ID3493.png,detect_fail
aihub,ID3500.png,detect_fail
aihub,ID3522.png,detect_fail
aihub,ID3562.png,detect_fail
aihub,ID3626.png,detect_fail
aihub,ID3653.png,detect_fail
aihub,ID3667.png,detect_fail
aihub,ID3708.png,detect_fail
aihub,ID3721.png,detect_fail
aihub,ID3724.png,detect_fail
aihub,ID3742.png,detect_fail
aihub,ID3766.png,detect_fail
aihub,ID3769.png,detect_fail
aihub,ID3783.png,detect_fail
aihub,ID3790.png,detect_fail
aihub,ID3795.png,detect_fail
aihub,ID3798.png,detect_fail
aihub,ID3801.png,detect_fail
aihub,ID3812.png,detect_fail
aihub,ID3820.png,detect_fail
aihub,ID3833.png,detect_fail
aihub,ID3838.png,detect_fail
aihub,ID3861.png,detect_fail
aihub,ID3879.png,detect_fail
aihub,ID3885.png,detect_fail
aihub,ID3893.png,detect_fail
aihub,ID3904.png,detect_fail
aihub,ID3923.png,detect_fail
aihub,ID3924.png,detect_fail
aihub,ID3934.png,detect_fail
aihub,ID3978.png,detect_fail
aihub,ID3987.png,detect_fail
aihub,ID3988.png,detect_fail
aihub,ID3989.png,detect_fail
aihub,ID3998.png,detect_fail
aihub,ID3999.png,detect_fail
aihub,ID4001.png,detect_fail
남자연예인,3a884ae23bcf60298eec0a269f090bef_1.jpg,detect_fail
남자연예인,images (6)_3.jpg,detect_fail
남자연예인,images (8)_2.jpg,detect_fail
남자연예인,images_4.jpg,detect_fail
남자연예인,zcxzc_3.jpg,detect_fail
남자연예인,방탄_슈가.jpg,detect_fail
남자연예인,방탄_제이홉.jpg,detect_fail
남자연예인,투바투_연준.jpg,detect_fail
여자연예인,i16_face1.jpg,detect_fail
여자연예인,i18_face3.jpg,detect_fail
여자연예인,i1_face1.jpg,detect_fail
여자연예인,i21_face1.jpg,detect_fail
여자연예인,i26_face1.jpg,detect_fail
여자연예인,i7_face1.jpg,detect_fail
여자연예인,고민시_6.jpg,detect_fail
여자연예인,박신혜_14.jpg,detect_fail
여자연예인,박은빈_6.jpg,detect_fail
여자연예인,서예지_5.jpg,detect_fail
여자연예인,이유영_9.jpg,detect_fail
여자연예인,이정현_13.jpg,detect_fail
여자연예인,이정현_17.jpg,detect_fail
여자연예인,전지현_9.jpg,detect_fail
여자연예인,한지민_2.jpg,detect_fail
